tag;task;description;pickup-priority;days;remarks;prompt
play-game;Unsighted;0.1;1-5;;google-img:"Unsighted" game screenshots, google:"Unsighted" game
play-game;prototype 2;0.1;1-5;;google-img:"prototype 2" game screenshots, google:"prototype 2" game
play-game;disco elysium;0.1;1-5;;google-img:"disco elysium" game screenshots, google:"disco elysium" game
play-game;GATO ROBOTO;0.1;1-5;;google-img:"GATO ROBOTO" game screenshots, google:"GATO ROBOTO" game
play-game;COCOON;0.1;1-5;;google-img:"COCOON" game screenshots, google:"COCOON" game
play-game;lovely planet;0.1;1-5;;google-img:"lovely planet" game screenshots, google:"lovely planet" game
play-game;lovely planet remix;0.1;1-5;;google-img:"lovely planet remix" game screenshots, google:"lovely planet remix" game
play-game;chuchu rocket;0.1;1-5;;google-img:"chuchu rocket" game screenshots, google:"chuchu rocket" game
play-game;Handsome Mr. Frog;0.1;1-5;;google-img:"Handsome Mr. Frog" game screenshots, google:"Handsome Mr. Frog" game
play-game;1001 spikes;0.1;1-5;;google-img:"1001 spikes" game screenshots, google:"1001 spikes" game
play-game;Pepper Grinder;0.1;1-5;;google-img:"Pepper Grinder" game screenshots, google:"Pepper Grinder" game
play-game;outlast 1/2;0.1;1-5;;google-img:"outlast 1/2" game screenshots, google:"outlast 1/2" game
play-game;pinkman;0.1;1-5;;google-img:"pinkman" game screenshots, google:"pinkman" game
play-game;Catie in MeowmeowLand;0.1;1-5;;google-img:"Catie in MeowmeowLand" game screenshots, google:"Catie in MeowmeowLand" game
play-game;OTXO;0.1;1-5;;google-img:"OTXO" game screenshots, google:"OTXO" game
play-game;Disc Room;0.1;1-5;;google-img:"Disc Room" game screenshots, google:"Disc Room" game
play-game;Rifter;0.1;1-5;;google-img:"Rifter" game screenshots, google:"Rifter" game
play-game;Spirits Abyss;0.1;1-5;;google-img:"Spirits Abyss" game screenshots, google:"Spirits Abyss" game
play-game;Boneraiser Minions;0.1;1-5;;google-img:"Boneraiser Minions" game screenshots, google:"Boneraiser Minions" game
play-game;The Multi-Medium;0.1;1-5;;google-img:"The Multi-Medium" game screenshots, google:"The Multi-Medium" game
play-game;Lowglow;0.1;1-5;;google-img:"Lowglow" game screenshots, google:"Lowglow" game
play-game;Hohokum;0.1;1-5;;google-img:"Hohokum" game screenshots, google:"Hohokum" game
play-game;Mosa Lina;0.1;1-5;;google-img:"Mosa Lina" game screenshots, google:"Mosa Lina" game
