tag;task;description;pickup-priority;days;remarks;prompt
SKL;study-piano;;0.5;3-5;;
SKL;study-drums;;0.5;3-5;;
SKL;drone-practice;;0.5;3-5;;
SKL;social-media-post;make a post;0.5;1-3;tubmlr,fb;
